city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Yichang,635,768,852,1115,17446,20773,22891,28922,36726,47996,62912,67086,137161,136885,143600,141661,165567
Xiangyang,1009,1021,1521,1626,9596,12224,14311,18109,27896,45582,46699,187876,201511,206938,229986,302249,270417
Ezhou,254,298,281,642,2127,2470,2697,3273,6400,7828,10251,5864,8081,29981,43349,30040,14597
Jingmen,303,247,258,253,4240,5118,6572,7191,9711,14715,21407,28254,48062,58149,63122,71851,85184
Xiaogan,650,770,826,1067,6018,6378,9318,10609,14176,23352,26218,34671,77996,95569,105530,105927,112247
Jingzhou,740,752,843,1037,1296,4629,4990,5729,17741,22638,30527,38787,52915,87332,96425,98410,95583
Huanggang,939,962,1110,1567,5103,9025,14880,20889,29168,36848,49370,55151,68115,78114,83742,94062,97139
Xianning,326,307,357,486,4478,5026,8316,9653,13450,18020,20781,24583,30200,37400,38180,52106,66219
Suizhou,139,132,179,294,2965,3845,4561,5813,8233,10844,14360,15302,21417,18694,15033,15081,16210
Changsha,2688,3014,3489,3937,74914,95490,107816,133275,154252,167458,202244,224570,241731,246112,293220,361871,492477
Zhuzhou,728,789,861,816,11320,17772,27137,20981,312273,30760,38458,43909,76422,66079,120030,176280,258653
Xiangtan,493,512,802,779,12157,14445,18607,22010,22262,21748,31302,25778,26433,33279,70020,116084,129926
Hengyang,767,781,933,1326,5319,6749,8000,12429,12445,14997,19213,19703,21044,21438,32402,44286,52103
Shaoyang,443,538,794,822,3653,4417,6463,6278,6492,6464,9935,12145,18425,21675,17343,33806,47772
Yueyang,643,733,800,1250,11102,12809,15692,17956,24472,29322,32452,35361,36602,54655,54559,83226,116174
Changde,586,650,794,990,4621,5841,8613,10337,13832,14659,20342,22884,23461,23264,54747,82578,98346
Zhangjiajie,185,224,357,340,1272,2381,1892,2177,2981,5014,3878,3706,3049,4851,6401,8286,13832
Yiyang,499,567,785,972,6437,9057,4654,7088,9632,12907,18124,20771,19574,22120,25538,38361,48347
Chenzhou,736,812,952,1344,11321,14368,19252,23278,29752,35019,39846,44600,45807,49291,43617,78222,91039
Yongzhou,577,791,972,1176,4561,5748,6906,8479,10691,10922,15492,17186,21665,23928,42140,52193,74520
Huaihua,249,317,420,516,3230,3553,3875,6287,7069,10062,12208,12369,12700,19286,43841,55654,85523
Loudi,544,677,750,899,1236,1239,5191,8841,8644,8287,14286,9434,11117,8667,11932,25612,36915
Guangzhou,20827,24791,24082,26334,211587,262213,323623,319379,222300,521165,541912,563212,886688,1129546,1712569,1636655,2439456
Shaoguan,670,1075,553,832,6258,10647,12064,14243,19984,26210,25076,24233,53657,48391,59884,45974,90824
Shenzhen,15274,13754,16300,16769,498998,546820,791591,998426,704863,791239,1329814,946000,2143182,4035240,3518252,5549817,5484249
Zhuhai,2808,4280,5487,4996,20801,30006,39795,56984,73453,88312,121303,125185,286324,352358,453039,455217,488867
Shantou,4734,1847,1872,2251,10475,11529,13205,14491,24858,23952,26355,20977,34155,58376,49200,39795,63821
Foshan,21713,16962,18679,20095,73738,79035,84083,113366,128974,168320,163697,153760,302739,349559,462621,546769,981555
Jiangmen,2146,2879,4197,4856,18776,22100,22519,29897,38554,54117,52778,51532,79850,94638,110216,132816,153988
Zhanjiang,851,1094,1034,1529,5150,5252,6242,5809,9507,15815,12965,14416,23094,46222,38479,29871,43753
Maoming,737,782,1174,1171,4545,5096,6028,4387,11707,10198,10619,6800,8024,15698,16932,33321,37030
Zhaoqing,3390,1543,1879,2456,13345,16644,21464,22967,30926,38605,33989,40431,49802,42231,58617,69917,87078
Huizhou,1798,1700,1766,2566,10308,16299,23766,35738,52944,51031,55635,197644,197946,218192,258472,221734,251859
Meizhou,8900,1050,1075,1497,6449,6571,9062,9934,12926,24303,12649,15046,40733,35423,61918,82364,69695
Shanwei,685,445,583,484,2534,2700,3926,3974,7574,6822,8254,11276,22498,36853,45660,59644,21029
Heyuan,1274,1100,1110,1316,3806,4224,6279,7961,11598,11970,13521,42567,45390,54133,43028,75356,38868
Yangjiang,586,699,747,890,5422,5792,6752,7992,10501,13108,12020,11568,17828,19527,19151,27673,39689
Qingyuan,1087,864,1421,1925,3062,4671,7166,13275,17451,19610,20969,23748,28613,49942,40026,57419,84106
Dongguan,1280,6421,3956,3874,91232,93395,116821,79830,181369,185411,170307,141031,308338,279373,339579,393445,253628
Zhongshan,1311,1638,1964,2688,26534,39921,47840,67248,83918,109585,105594,128694,165573,278829,440982,410488,333279
Chaozhou,209,454,750,1235,3506,4299,5024,4434,7209,14860,5729,5395,28884,19773,14397,13359,19282
Jieyang,0,0,1260,1376,4568,3063,4419,4781,9517,16475,6596,5841,14482,33738,19020,37969,30494
Yunfu,1283,929,1093,1441,6175,6969,7724,11447,13500,15638,18007,275386,36396,28829,35911,31104,42823
Nanning,1320,1544,1865,2353,17063,24420,24241,28429,38046,51532,62093,72461,58220,51647,64433,78509,106667
Liuzhou,974,1094,1172,1384,11191,14033,16069,20911,21581,31947,41134,41670,36043,41497,41332,38768,56431
Guilin,1278,1564,1786,2150,10340,12476,15934,19002,26393,31508,42993,45641,33405,35700,25574,26620,27301
Wuzhou,239,254,300,367,1841,2297,1992,2684,8855,17059,24700,25204,15257,10252,11509,21149,14519
Beihai,218,234,375,344,2183,2550,2458,2102,4103,16568,24391,26667,4341,23933,34004,45606,23220
Fangchenggang,54,62,83,67,469,662,1198,1355,2379,4865,8423,14488,6689,6507,3331,3971,3993
Qinzhou,239,229,262,278,863,1300,1629,2187,2464,11016,13366,16041,24150,18304,9904,12985,12815
Guigang,85,82,59,74,1823,1121,1265,1552,3515,5703,10052,10702,11643,4242,3200,5496,16853
Yulin,228,206,299,417,1828,3817,3503,5770,10291,17430,21506,19988,22538,22317,21540,18421,18409
Baise,361,371,453,693,3081,3915,5562,6694,11347,25593,24414,32730,24454,24581,32499,24424,22186
